id,waterfront,view,condition,grade,bedrooms,bathrooms,sqft_basement_cat,floors,yr_built_cat,zip
7129300520,0,0,3,7,3,1.0,1,1.0,1,981
6414100192,0,0,3,7,3,2.25,2,2.0,1,981
5631500400,0,0,3,6,2,1.0,1,1.0,1,980
2487200875,0,0,5,7,4,3.0,3,1.0,1,981
1954400510,0,0,3,8,3,2.0,1,1.0,1,980
7237550310,0,0,3,11,4,4.5,4,1.0,2,980
1321400060,0,0,3,7,3,2.25,1,2.0,2,980
2008000270,0,0,3,7,3,1.5,1,1.0,1,981
2414600126,0,0,3,7,3,1.0,3,1.0,1,981
3793500160,0,0,3,7,3,2.5,1,2.0,2,980
1736800520,0,0,3,8,3,2.5,4,1.0,1,980
9212900260,0,0,4,7,2,1.0,2,1.0,1,981
114101516,0,0,4,7,3,1.0,1,1.5,1,980
6054650070,0,0,4,7,3,1.75,1,1.0,1,980
1175000570,0,0,3,7,5,2.0,1,1.5,1,981
9297300055,0,3,3,9,4,3.0,3,2.0,1,981
1875500060,0,0,3,7,3,2.0,1,2.0,1,980
6865200140,0,0,4,7,4,1.0,1,1.5,1,981
16000397,0,0,4,7,2,1.0,1,1.0,1,980
7983200060,0,0,4,7,3,1.0,1,1.0,1,980
6300500875,0,0,4,7,4,1.75,3,1.0,1,981
2524049179,0,4,3,9,3,2.75,3,1.0,1,980
7137970340,0,0,3,8,5,2.5,1,2.0,2,980
8091400200,0,0,3,7,2,1.5,1,1.0,1,980
3814700200,0,0,4,8,3,2.25,1,2.0,1,980
1202000200,0,0,5,6,3,2.0,1,1.5,1,980
1794500383,0,0,3,8,3,1.75,3,2.0,1,981
3303700376,0,0,5,8,3,1.0,1,1.5,1,981
5101402488,0,0,3,7,3,1.75,3,1.0,1,981
1873100390,0,0,3,8,4,2.5,1,2.0,2,980
8562750320,0,0,3,8,3,2.5,1,2.0,2,980
2426039314,0,0,3,7,2,1.5,1,3.0,2,981
461000390,0,0,4,7,4,1.75,3,1.5,1,981
7589200193,0,0,4,8,3,1.0,1,1.5,1,981
7955080270,0,0,3,7,4,2.75,3,1.0,1,980
9547205180,0,0,3,8,3,2.5,3,1.5,1,981
9435300030,0,0,1,5,4,1.0,3,1.0,1,980
2768000400,0,0,4,8,4,2.0,1,2.0,1,981
7895500070,0,0,2,7,4,1.0,2,1.0,1,980
2078500320,0,0,3,8,4,2.5,1,2.0,2,980
5547700270,0,0,3,9,4,2.5,1,2.0,2,980
7766200013,0,0,3,8,4,2.25,4,1.0,1,981
7203220400,0,0,3,9,5,2.75,1,2.0,3,980
9270200160,0,0,3,7,3,1.0,1,2.0,1,981
1432701230,0,0,4,6,3,1.0,2,1.0,1,980
8035350320,0,0,3,8,3,2.5,1,2.0,2,980
8945200830,0,0,3,6,3,1.0,1,1.0,1,980
4178300310,0,0,4,9,4,2.5,1,2.0,1,980
9215400105,0,0,4,7,3,1.75,1,1.0,1,981
822039084,1,2,5,9,3,2.5,3,1.0,1,980
5245600105,0,0,3,7,3,1.0,1,1.0,1,981
7231300125,0,0,4,8,5,2.5,4,1.0,1,980
7518505990,0,0,4,7,3,1.75,2,1.0,1,981
3626039271,0,0,3,7,2,1.75,3,1.0,1,981
4217401195,0,0,3,8,5,2.25,3,1.5,1,981
9822700295,0,0,3,9,4,2.5,1,2.0,2,981
9478500640,0,0,3,7,4,2.5,1,2.0,2,980
2799800710,0,0,3,8,3,2.5,1,2.0,2,980
7922800400,0,4,4,8,5,3.25,1,2.0,1,980
8079040320,0,0,3,8,4,3.0,1,2.0,1,980
1516000055,0,3,4,8,3,2.25,3,1.0,1,981
9558200045,0,0,3,7,3,1.75,1,1.0,1,981
5072410070,0,0,5,8,3,1.75,1,2.0,1,981
9528102996,0,0,3,8,3,1.75,1,3.0,3,981
1189001180,0,0,3,7,3,2.25,3,1.0,1,981
3253500160,0,0,5,7,3,2.75,4,1.5,1,981
3394100030,0,0,3,10,4,2.5,1,2.0,1,980
3717000160,0,0,3,7,4,2.5,1,2.0,2,980
1274500060,0,0,4,7,3,1.0,1,1.0,1,980
1802000060,0,0,3,8,5,2.25,4,1.0,1,980
1525059190,0,0,4,11,5,3.25,4,1.0,1,980
1049000060,0,0,4,7,3,2.0,1,1.0,1,980
8820901275,0,0,5,7,4,2.0,3,1.5,1,981
5416510140,0,0,3,8,4,2.5,1,2.0,2,980
3444100400,0,0,5,7,3,1.75,3,1.0,1,980
3276920270,0,0,4,10,4,4.0,4,2.0,1,980
4036801170,0,0,3,7,4,1.75,3,1.0,1,980
2391600320,0,0,3,7,3,1.0,1,1.0,1,981
6300000287,0,0,4,7,3,1.0,3,1.0,1,981
1531000030,0,0,3,10,4,2.5,1,2.0,2,980
5104520400,0,0,3,8,3,2.5,1,2.0,2,980
7437100340,0,0,3,7,4,2.5,1,2.0,1,980
9418400240,0,0,3,7,2,1.0,4,1.0,1,981
1523059105,0,0,3,8,3,1.5,1,1.0,1,980
1133000671,0,0,3,6,3,1.0,1,1.0,1,981
4232902595,0,0,3,9,3,1.5,2,2.0,1,981
2599001200,0,0,5,7,5,2.25,1,1.5,1,980
3342103156,0,0,3,9,3,3.25,3,2.0,2,980
1332700270,0,0,4,7,2,2.25,1,2.0,1,980
3869900162,0,0,3,7,2,1.75,2,2.0,2,981
2791500270,0,0,3,7,4,2.5,1,2.0,1,980
5036300431,0,0,4,10,5,2.75,1,2.0,2,981
4168000060,0,0,3,7,3,1.0,1,1.0,1,980
6021501535,0,0,3,8,3,1.5,2,1.0,1,981
6021501535,0,0,3,8,3,1.5,2,1.0,1,981
1483300570,0,0,3,7,4,2.5,3,1.0,1,980
3422049190,0,0,3,7,3,1.75,1,1.0,1,980
1099611230,0,0,4,7,4,1.5,1,1.0,1,980
722079104,0,0,5,7,3,1.75,3,1.0,1,980
7338200240,0,2,3,9,3,2.5,1,2.0,1,980
1952200240,0,0,5,9,3,2.5,3,1.5,1,981
5200100125,0,0,4,7,3,2.0,3,1.5,1,981
7214720075,0,0,4,8,3,2.25,1,2.0,1,980
2450000295,0,0,3,8,3,2.5,1,2.0,1,980
6197800045,0,0,3,7,3,1.0,1,1.0,1,980
1328310370,0,0,4,8,3,2.5,3,1.0,1,980
546000875,0,0,4,7,3,1.0,3,1.5,1,981
3530510041,0,0,4,8,2,1.75,1,1.0,1,981
1853000400,0,0,4,10,4,2.5,1,2.0,1,980
3134100116,0,0,4,7,5,1.75,1,2.0,1,980
9545230140,0,0,3,8,4,2.5,1,2.0,1,980
3362400511,0,0,5,6,3,1.75,3,1.0,1,981
2525310310,0,0,4,7,3,1.75,2,1.0,1,980
6126500060,0,2,3,7,3,1.75,4,1.0,1,981
8961960160,0,3,3,9,4,2.5,3,2.0,2,980
3626039325,0,0,3,8,3,3.5,4,2.0,1,981
3362400431,0,0,3,8,3,3.5,1,3.0,2,981
4060000240,0,0,4,6,2,1.0,1,1.0,1,981
3454800060,0,0,3,6,4,2.0,1,1.0,1,981
1695900060,0,0,4,7,4,1.0,1,1.5,1,981
7278700070,0,2,3,8,3,2.5,3,1.0,1,981
6675500070,0,0,3,7,3,2.0,1,1.0,1,980
3626039187,0,0,3,6,2,1.0,1,1.0,1,981
3524049083,0,0,5,7,4,1.75,2,1.5,1,981
3275860240,0,0,3,9,3,2.25,1,2.0,1,980
4389200955,0,0,3,8,4,2.75,3,1.5,1,980
4058801670,0,2,3,8,3,2.25,2,1.0,1,981
8732020310,0,0,3,8,4,2.25,3,1.0,1,980
2331300505,0,0,5,7,5,3.5,3,2.0,1,981
7853210060,0,0,3,7,4,2.5,1,2.0,2,980
3668000070,0,0,4,7,3,1.75,1,1.0,1,980
9545240070,0,0,3,8,4,2.25,3,1.0,1,980
1243100136,0,0,3,9,3,3.5,4,1.5,1,980
8929000270,0,0,3,8,3,2.5,3,2.0,3,980
2767602356,0,0,3,9,4,3.5,1,3.0,2,981
921049315,0,0,4,7,3,1.75,1,1.0,1,980
3655000070,0,0,3,7,4,1.75,4,1.0,1,980
4027700812,0,0,4,8,4,2.25,4,1.0,1,980
3992700335,0,0,3,6,2,1.0,1,1.0,1,981
2767603505,0,0,3,8,3,2.25,1,3.0,3,981
4232901525,0,0,3,7,2,1.0,1,1.0,1,981
1777500060,0,0,4,8,5,2.5,4,1.0,1,980
1432900240,0,0,4,7,3,1.0,3,1.0,1,980
6140100875,0,0,4,7,3,1.0,2,1.0,1,981
6071600370,0,0,4,8,4,2.25,3,1.0,1,980
1526069017,0,0,4,9,4,2.5,1,2.0,1,980
809001525,0,0,3,8,4,1.0,2,2.0,1,981
3224079105,0,0,3,7,2,2.5,1,2.0,2,980
8075400570,0,0,4,8,5,2.0,4,1.0,1,980
1994200024,0,0,3,7,3,1.0,2,1.0,1,981
3362900810,0,0,3,8,3,2.0,1,2.0,1,981
1324300398,0,0,3,7,3,1.0,1,1.5,1,981
537000445,0,0,4,7,3,1.0,1,1.0,1,980
7855801670,0,3,3,12,4,3.25,4,2.0,2,980
7920100045,0,0,3,7,1,1.0,1,1.0,1,981
8960000030,0,0,4,7,3,1.0,1,1.0,1,980
6388930390,0,0,3,9,5,3.5,4,2.0,2,980
8731900200,0,0,3,8,4,2.75,4,1.0,1,980
8029200135,0,0,3,7,3,2.0,1,1.5,1,980
1081200350,0,0,4,8,4,1.75,1,1.0,1,980
84000105,0,0,3,7,5,2.25,4,1.0,1,981
3756500060,0,0,3,7,3,1.75,1,1.0,1,980
