sqft_above,sqft_lot15,sqft_living15,waterfront,view,condition,grade,bedrooms,bathrooms,sqft_basement_cat,floors,yr_built_cat,zip,price
1180.0,5650.0,1340.0,0,0,3,7,3,1.0,1,1.0,1,1,221900
2170.0,7639.0,1690.0,0,0,3,7,3,2.25,2,2.0,1,1,538000
770.0,8062.0,2720.0,0,0,3,6,2,1.0,1,1.0,1,0,180000
1050.0,5000.0,1360.0,0,0,5,7,4,3.0,3,1.0,1,1,604000
1680.0,7503.0,1800.0,0,0,3,8,3,2.0,1,1.0,1,0,510000
1715.0,6819.0,2238.0,0,0,3,11,4,4.5,4,1.0,2,0,1230000
1060.0,9711.0,1650.0,0,0,3,7,3,2.25,1,2.0,2,0,257500
1050.0,8113.0,1780.0,0,0,3,7,3,1.5,1,1.0,1,1,291850
1890.0,7570.0,2390.0,0,0,3,7,3,1.0,3,1.0,1,1,229500
1860.0,8925.0,2210.0,0,0,3,7,3,2.5,1,2.0,2,0,323000
860.0,6000.0,1330.0,0,0,3,8,3,2.5,4,1.0,1,0,662500
1430.0,12697.0,1780.0,0,0,4,7,2,1.0,2,1.0,1,1,468000
1370.0,10208.0,1370.0,0,0,4,7,3,1.0,1,1.5,1,0,310000
1810.0,4850.0,1360.0,0,0,4,7,3,1.75,1,1.0,1,0,400000
1980.0,4000.0,2140.0,0,0,3,7,5,2.0,1,1.5,1,1,530000
1890.0,14018.0,1890.0,0,3,3,9,4,3.0,3,2.0,1,1,650000
1600.0,4300.0,1610.0,0,0,3,7,3,2.0,1,2.0,1,0,395000
1200.0,5095.0,1060.0,0,0,4,7,4,1.0,1,1.5,1,1,485000
1250.0,8850.0,1280.0,0,0,4,7,2,1.0,1,1.0,1,0,189000
860.0,4980.0,1400.0,0,0,4,7,3,1.0,1,1.0,1,0,230000
2270.0,7005.0,2240.0,0,0,4,7,4,1.75,3,1.0,1,1,385000
1070.0,8386.0,1220.0,0,4,3,9,3,2.75,3,1.0,1,0,2000000
2450.0,6865.0,2200.0,0,0,3,8,5,2.5,1,2.0,2,0,285000
1710.0,4705.0,1030.0,0,0,3,7,2,1.5,1,1.0,1,0,252700
1750.0,3573.0,1760.0,0,0,4,8,3,2.25,1,2.0,1,0,329000
1400.0,3861.0,1860.0,0,0,5,6,3,2.0,1,1.5,1,0,233000
790.0,6235.0,1520.0,0,0,3,8,3,1.75,3,2.0,1,1,937000
2570.0,6026.0,2630.0,0,0,5,8,3,1.0,1,1.5,1,1,667000
2320.0,3980.0,2580.0,0,0,3,7,3,1.75,3,1.0,1,1,438000
1190.0,1756.0,1390.0,0,0,3,8,4,2.5,1,2.0,2,0,719000
1510.0,5000.0,1460.0,0,0,3,8,3,2.5,1,2.0,2,0,580500
1090.0,5080.0,1570.0,0,0,3,7,2,1.5,1,3.0,2,1,280000
1280.0,8720.0,2020.0,0,0,4,7,4,1.75,3,1.5,1,1,687500
1510.0,3264.0,1590.0,0,0,4,8,3,1.0,1,1.5,1,1,535000
930.0,11467.0,2160.0,0,0,3,7,4,2.75,3,1.0,1,0,322500
2360.0,4700.0,1730.0,0,0,3,8,3,2.5,3,1.5,1,1,696000
890.0,7800.0,1290.0,0,0,1,5,4,1.0,3,1.0,1,0,550000
2620.0,11884.0,2620.0,0,0,4,8,4,2.0,1,2.0,1,1,640000
2570.0,5669.0,2470.0,0,0,2,7,4,1.0,2,1.0,1,0,240000
3595.0,5639.0,3625.0,0,0,3,8,4,2.5,1,2.0,2,0,605000
1570.0,2640.0,1580.0,0,0,3,9,4,2.5,1,2.0,2,0,625000
920.0,8808.0,1340.0,0,0,3,8,4,2.25,4,1.0,1,1,775000
3160.0,9232.0,3050.0,0,0,3,9,5,2.75,1,2.0,3,0,861990
990.0,8840.0,1228.0,0,0,3,7,3,1.0,1,2.0,1,1,685000
2290.0,13685.0,2680.0,0,0,4,6,3,1.0,2,1.0,1,0,309000
1250.0,5100.0,970.0,0,0,3,8,3,2.5,1,2.0,2,0,488000
1190.0,9364.0,1190.0,0,0,3,6,3,1.0,1,1.0,1,0,210490
1640.0,9133.0,1990.0,0,0,4,9,4,2.5,1,2.0,1,0,785000
1000.0,4080.0,1410.0,0,0,4,7,3,1.75,1,1.0,1,1,450000
990.0,6738.0,1480.0,1,2,5,9,3,2.5,3,1.0,1,0,1350000
2130.0,6000.0,2730.0,0,0,3,7,3,1.0,1,1.0,1,1,228000
2830.0,5000.0,1950.0,0,0,4,8,5,2.5,4,1.0,1,0,345000
2250.0,4500.0,2250.0,0,0,4,7,3,1.75,2,1.0,1,1,600000
2420.0,4750.0,2690.0,0,0,3,7,2,1.75,3,1.0,1,1,585000
3250.0,11044.0,2960.0,0,0,3,8,5,2.25,3,1.5,1,1,920000
1850.0,8542.0,2270.0,0,0,3,9,4,2.5,1,2.0,2,1,885000
1260.0,8750.0,1290.0,0,0,3,7,4,2.5,1,2.0,2,0,292500
2519.0,9500.0,2500.0,0,0,3,8,3,2.5,1,2.0,2,0,301000
1540.0,3090.0,1580.0,0,4,4,8,5,3.25,1,2.0,1,0,951000
1110.0,4080.0,1440.0,0,0,3,8,4,3.0,1,2.0,1,0,430000
1770.0,4000.0,1440.0,0,3,4,8,3,2.25,3,1.0,1,1,650000
2720.0,11049.0,2750.0,0,0,3,7,3,1.75,1,1.0,1,1,289000
2240.0,4557.0,2221.0,0,0,5,8,3,1.75,1,2.0,1,1,505000
1000.0,12635.0,1010.0,0,0,3,8,3,1.75,1,3.0,3,1,549000
1260.0,4745.0,1640.0,0,0,3,7,3,2.25,3,1.0,1,1,425000
2250.0,7807.0,1510.0,0,0,5,7,3,2.75,4,1.5,1,1,317625
2380.0,5000.0,2420.0,0,0,3,10,4,2.5,1,2.0,1,0,975000
880.0,7500.0,1680.0,0,0,3,7,4,2.5,1,2.0,2,0,287000
1040.0,5060.0,890.0,0,0,4,7,3,1.0,1,1.0,1,0,204000
910.0,5693.0,1130.0,0,0,3,8,5,2.25,4,1.0,1,0,1330000
2350.0,5363.0,2350.0,0,0,4,11,5,3.25,4,1.0,1,0,1040000
1900.0,6405.0,1870.0,0,0,4,7,3,2.0,1,1.0,1,0,325000
1010.0,6720.0,1720.0,0,0,5,7,4,2.0,3,1.5,1,1,571000
1680.0,8797.0,1850.0,0,0,3,8,4,2.5,1,2.0,2,0,360000
960.0,7203.0,1570.0,0,0,5,7,3,1.75,3,1.0,1,0,349000
1900.0,4800.0,2020.0,0,0,4,10,4,4.0,4,2.0,1,0,832500
2660.0,8165.0,1590.0,0,0,3,7,4,1.75,3,1.0,1,0,380000
1980.0,7349.0,1900.0,0,0,3,7,3,1.0,1,1.0,1,1,480000
1610.0,2025.0,1950.0,0,0,4,7,3,1.0,3,1.0,1,1,410000
765.0,1106.0,1030.0,0,0,3,10,4,2.5,1,2.0,2,0,720000
1980.0,7510.0,1980.0,0,0,3,8,3,2.5,1,2.0,2,0,390000
3520.0,6250.0,2520.0,0,0,3,7,4,2.5,1,2.0,1,0,360000
1200.0,10500.0,1350.0,0,0,3,7,2,1.0,4,1.0,1,1,355000
1290.0,4500.0,1570.0,0,0,3,8,3,1.5,1,1.0,1,0,356000
1290.0,4500.0,1570.0,0,0,3,6,3,1.0,1,1.0,1,1,315000
2390.0,6045.0,1950.0,0,0,3,9,3,1.5,2,2.0,1,1,940000
1960.0,15616.0,1750.0,0,0,5,7,5,2.25,1,1.5,1,0,305000
1160.0,6400.0,1160.0,0,0,3,9,3,3.25,3,2.0,2,0,461000
1270.0,4500.0,2200.0,0,0,4,7,2,2.25,1,2.0,1,0,215000
1440.0,3478.0,1610.0,0,0,3,7,2,1.75,2,2.0,2,1,335000
2920.0,8113.0,2370.0,0,0,3,7,4,2.5,1,2.0,1,0,243500
1210.0,14910.0,1640.0,0,0,4,10,5,2.75,1,2.0,2,1,1100000
1460.0,8162.0,2250.0,0,0,3,7,3,1.0,1,1.0,1,0,153000
1170.0,4005.0,1240.0,0,0,3,8,3,1.5,2,1.0,1,1,430000
1240.0,4966.0,1270.0,0,0,3,8,3,1.5,2,1.0,1,1,700000
2030.0,9433.0,2500.0,0,0,3,7,4,2.5,3,1.0,1,0,905000
2310.0,9636.0,1940.0,0,0,3,7,3,1.75,1,1.0,1,0,247500
700.0,3536.0,1380.0,0,0,4,7,4,1.5,1,1.0,1,0,199000
1160.0,11656.0,1540.0,0,0,5,7,3,1.75,3,1.0,1,0,314000
1080.0,5500.0,2090.0,0,2,3,9,3,2.5,1,2.0,1,0,437500
2520.0,8517.0,2640.0,0,0,5,9,3,2.5,3,1.5,1,1,850830
2780.0,6350.0,1830.0,0,0,4,7,3,2.0,3,1.5,1,1,555000
1590.0,3166.0,1620.0,0,0,4,8,3,2.25,1,2.0,1,0,699950
880.0,6780.0,1190.0,0,0,3,8,3,2.5,1,2.0,1,0,1090000
1570.0,9000.0,1880.0,0,0,3,7,3,1.0,1,1.0,1,0,290000
1610.0,4040.0,1610.0,0,0,4,8,3,2.5,3,1.0,1,0,375000
1560.0,10856.0,2340.0,0,0,4,7,3,1.0,3,1.5,1,1,460000
1450.0,9104.0,1580.0,0,0,4,8,2,1.75,1,1.0,1,1,188500
770.0,6000.0,1710.0,0,0,4,10,4,2.5,1,2.0,1,0,680000
1720.0,4400.0,1850.0,0,0,4,7,5,1.75,1,2.0,1,0,470000
2910.0,13992.0,2700.0,0,0,3,8,4,2.5,1,2.0,1,0,597750
1980.0,11275.0,3060.0,0,0,5,6,3,1.75,3,1.0,1,1,570000
1620.0,8712.0,2660.0,0,0,4,7,3,1.75,2,1.0,1,0,272500
1360.0,8400.0,2090.0,0,2,3,7,3,1.75,4,1.0,1,1,329950
1720.0,4960.0,1700.0,0,3,3,9,4,2.5,3,2.0,2,0,480000
2070.0,3748.0,1970.0,0,0,3,8,3,3.5,4,2.0,1,1,740500
1060.0,7680.0,1420.0,0,0,3,8,3,3.5,1,3.0,2,1,518500
1440.0,9793.0,2060.0,0,0,4,6,2,1.0,1,1.0,1,1,205425
1390.0,1662.0,1690.0,0,0,3,6,4,2.0,1,1.0,1,1,171800
2140.0,2285.0,1540.0,0,0,4,7,4,1.0,1,1.5,1,1,535000
1010.0,8140.0,1750.0,0,2,3,8,3,2.5,3,1.0,1,1,660000
1340.0,10436.0,1550.0,0,0,3,7,3,2.0,1,1.0,1,0,391500
1190.0,5715.0,1060.0,0,0,3,6,2,1.0,1,1.0,1,1,395000
1170.0,1310.0,1350.0,0,0,5,7,4,1.75,2,1.5,1,1,445000
