sqft_above,sqft_lot15,sqft_living15,id,waterfront,view,condition,grade,bedrooms,sqft_basement_cat,floors,yr_built_cat,zip,id,price
1180,5650,1340,7129300520,0,0,3,7,3,1,1.0,1,1,7129300520,221900
2170,7639,1690,6414100192,0,0,3,7,3,2,2.0,1,1,6414100192,538000
770,8062,2720,5631500400,0,0,3,6,2,1,1.0,1,0,5631500400,180000
1050,5000,1360,2487200875,0,0,5,7,4,3,1.0,1,1,2487200875,604000
1680,7503,1800,1954400510,0,0,3,8,3,1,1.0,1,0,1954400510,510000
3890,101930,4760,7237550310,0,0,3,11,4,4,1.0,2,0,7237550310,1230000
1715,6819,2238,1321400060,0,0,3,7,3,1,2.0,2,0,1321400060,257500
1060,9711,1650,2008000270,0,0,3,7,3,1,1.0,1,1,2008000270,291850
1050,8113,1780,2414600126,0,0,3,7,3,3,1.0,1,1,2414600126,229500
1890,7570,2390,3793500160,0,0,3,7,3,1,2.0,2,0,3793500160,323000
1860,8925,2210,1736800520,0,0,3,8,3,4,1.0,1,0,1736800520,662500
860,6000,1330,9212900260,0,0,4,7,2,2,1.0,1,1,9212900260,468000
1430,12697,1780,114101516,0,0,4,7,3,1,1.5,1,0,114101516,310000
1370,10208,1370,6054650070,0,0,4,7,3,1,1.0,1,0,6054650070,400000
1810,4850,1360,1175000570,0,0,3,7,5,1,1.5,1,1,1175000570,530000
1980,4000,2140,9297300055,0,3,3,9,4,3,2.0,1,1,9297300055,650000
1890,14018,1890,1875500060,0,0,3,7,3,1,2.0,1,0,1875500060,395000
1600,4300,1610,6865200140,0,0,4,7,4,1,1.5,1,1,6865200140,485000
1200,5095,1060,16000397,0,0,4,7,2,1,1.0,1,0,16000397,189000
1250,8850,1280,7983200060,0,0,4,7,3,1,1.0,1,0,7983200060,230000
860,4980,1400,6300500875,0,0,4,7,4,3,1.0,1,1,6300500875,385000
2330,20336,4110,2524049179,0,4,3,9,3,3,1.0,1,0,2524049179,2000000
2270,7005,2240,7137970340,0,0,3,8,5,1,2.0,2,0,7137970340,285000
1070,8386,1220,8091400200,0,0,3,7,2,1,1.0,1,0,8091400200,252700
2450,6865,2200,3814700200,0,0,4,8,3,1,2.0,1,0,3814700200,329000
1710,4705,1030,1202000200,0,0,5,6,3,1,1.5,1,0,1202000200,233000
1750,3573,1760,1794500383,0,0,3,8,3,3,2.0,1,1,1794500383,937000
1400,3861,1860,3303700376,0,0,5,8,3,1,1.5,1,1,3303700376,667000
790,6235,1520,5101402488,0,0,3,7,3,3,1.0,1,1,5101402488,438000
2570,6026,2630,1873100390,0,0,3,8,4,1,2.0,2,0,1873100390,719000
2320,3980,2580,8562750320,0,0,3,8,3,1,2.0,2,0,8562750320,580500
1190,1756,1390,2426039314,0,0,3,7,2,1,3.0,2,1,2426039314,280000
1510,5000,1460,461000390,0,0,4,7,4,3,1.5,1,1,461000390,687500
1090,5080,1570,7589200193,0,0,4,8,3,1,1.5,1,1,7589200193,535000
1280,8720,2020,7955080270,0,0,3,7,4,3,1.0,1,0,7955080270,322500
