sqft_above,sqft_lot15,sqft_living15,waterfront,view,condition,grade,bedrooms,sqft_basement_cat,floors,yr_built_cat,zip,price,year_bin
1180,5650,1340,0,0,3,7,3,1,1.0,1,1,221900,4
2170,7639,1690,0,0,3,7,3,2,2.0,1,1,538000,4
770,8062,2720,0,0,3,6,2,1,1.0,1,0,180000,2
1050,5000,1360,0,0,5,7,4,3,1.0,1,1,604000,5
1680,7503,1800,0,0,3,8,3,1,1.0,1,0,510000,7
3890,101930,4760,0,0,3,11,4,4,1.0,2,0,1230000,9
1715,6819,2238,0,0,3,7,3,1,2.0,2,0,257500,8
1060,9711,1650,0,0,3,7,3,1,1.0,1,1,291850,5
1050,8113,1780,0,0,3,7,3,3,1.0,1,1,229500,5
1890,7570,2390,0,0,3,7,3,1,2.0,2,0,323000,9
1860,8925,2210,0,0,3,8,3,4,1.0,1,0,662500,5
860,6000,1330,0,0,4,7,2,2,1.0,1,1,468000,3
1430,12697,1780,0,0,4,7,3,1,1.5,1,0,310000,2
1370,10208,1370,0,0,4,7,3,1,1.0,1,0,400000,6
1810,4850,1360,0,0,3,7,5,1,1.5,1,1,530000,0
1980,4000,2140,0,3,3,9,4,3,2.0,1,1,650000,7
1890,14018,1890,0,0,3,7,3,1,2.0,1,0,395000,8
1600,4300,1610,0,0,4,7,4,1,1.5,1,1,485000,1
1200,5095,1060,0,0,4,7,2,1,1.0,1,0,189000,1
1250,8850,1280,0,0,4,7,3,1,1.0,1,0,230000,6
860,4980,1400,0,0,4,7,4,3,1.0,1,1,385000,4
2330,20336,4110,0,4,3,9,3,3,1.0,1,0,2000000,6
2270,7005,2240,0,0,3,8,5,1,2.0,2,0,285000,8
1070,8386,1220,0,0,3,7,2,1,1.0,1,0,252700,7
2450,6865,2200,0,0,4,8,3,1,2.0,1,0,329000,7
1710,4705,1030,0,0,5,6,3,1,1.5,1,0,233000,3
1750,3573,1760,0,0,3,8,3,3,2.0,1,1,937000,1
1400,3861,1860,0,0,5,8,3,1,1.5,1,1,667000,0
790,6235,1520,0,0,3,7,3,3,1.0,1,1,438000,4
2570,6026,2630,0,0,3,8,4,1,2.0,2,0,719000,9
2320,3980,2580,0,0,3,8,3,1,2.0,2,0,580500,9
1190,1756,1390,0,0,3,7,2,1,3.0,2,1,280000,9
1510,5000,1460,0,0,4,7,4,3,1.5,1,1,687500,2
1090,5080,1570,0,0,4,8,3,1,1.5,1,1,535000,2
1280,8720,2020,0,0,3,7,4,3,1.0,1,0,322500,7
