waterfront,view,condition,grade,yr_built,yr_renovated
0,0,3,7,1955,0
0,0,3,7,1951,1991
0,0,3,6,1933,0
0,0,5,7,1965,0
0,0,3,8,1987,0
0,0,3,11,2001,0
0,0,3,7,1995,0
0,0,3,7,1963,0
0,0,3,7,1960,0
0,0,3,7,2003,0
0,0,3,8,1965,0
0,0,4,7,1942,0
0,0,4,7,1927,0
0,0,4,7,1977,0
0,0,3,7,1900,0
0,3,3,9,1979,0
0,0,3,7,1994,0
0,0,4,7,1916,0
0,0,4,7,1921,0
0,0,4,7,1969,0
0,0,4,7,1947,0
0,4,3,9,1968,0
0,0,3,8,1995,0
0,0,3,7,1985,0
0,0,4,8,1985,0
0,0,5,6,1941,0
0,0,3,8,1915,0
0,0,5,8,1909,0
0,0,3,7,1948,0
0,0,3,8,2005,0
0,0,3,8,2003,0
0,0,3,7,2005,0
0,0,4,7,1929,0
0,0,4,8,1929,0
0,0,3,7,1981,0
0,0,3,8,1930,2002
0,0,1,5,1933,0
0,0,4,8,1904,0
0,0,2,7,1969,0
0,0,3,8,1996,0
0,0,3,9,2000,0
0,0,3,8,1984,0
0,0,3,9,2014,0
0,0,3,7,1922,0
0,0,4,6,1959,0
0,0,3,8,2003,0
0,0,3,6,1966,0
0,0,4,9,1981,0
0,0,4,7,1953,0
1,2,5,9,1953,0
0,0,3,7,1955,0
0,0,4,8,1966,0
0,0,4,7,1950,0
0,0,3,7,1981,0
0,0,3,8,1927,0
0,0,3,9,1995,0
0,0,3,7,2008,0
0,0,3,8,2003,0
0,4,4,8,1968,0
0,0,3,8,1991,0
0,3,4,8,1959,0
0,0,3,7,1954,0
0,0,5,8,1973,0
0,0,3,8,2014,0
0,0,3,7,1979,0
0,0,5,7,1925,0
0,0,3,10,1989,0
0,0,3,7,2005,0
0,0,4,7,1968,0
0,0,3,8,1965,0
0,0,4,11,1973,0
0,0,4,7,1972,0
0,0,5,7,1916,0
0,0,3,8,2005,0
0,0,5,7,1965,0
0,0,4,10,1986,0
0,0,3,7,1956,0
0,0,3,7,1941,0
0,0,4,7,1956,0
0,0,3,10,2002,0
0,0,3,8,2003,0
0,0,3,7,1992,0
0,0,3,7,1948,0
0,0,3,8,1964,0
0,0,3,6,1952,0
0,0,3,9,1925,0
0,0,5,7,1961,0
0,0,3,9,2006,0
0,0,4,7,1979,0
0,0,3,7,2006,0
0,0,3,7,1988,0
0,0,4,10,2001,0
0,0,3,7,1962,0
0,0,3,8,1939,0
0,0,3,8,1939,0
0,0,3,7,1946,1991
0,0,3,7,1967,0
0,0,4,7,1975,0
0,0,5,7,1980,0
0,2,3,9,1992,0
0,0,5,9,1910,0
0,0,4,7,1929,0
0,0,4,8,1983,0
0,0,3,8,1950,2010
0,0,3,7,1954,0
0,0,4,8,1978,0
0,0,4,7,1939,0
0,0,4,8,1985,0
0,0,4,10,1991,0
0,0,4,7,1942,0
0,0,3,8,1984,0
0,0,5,6,1905,0
0,0,4,7,1980,0
0,2,3,7,1971,0
0,3,3,9,2001,0
0,0,3,8,1900,1999
0,0,3,8,2010,0
0,0,4,6,1945,0
0,0,3,6,1950,0
0,0,4,7,1925,0
0,2,3,8,1964,0
0,0,3,7,1987,0
0,0,3,6,1953,0
0,0,5,7,1924,0
0,0,3,9,1990,0
0,0,3,8,1914,1992
0,2,3,8,1967,0
0,0,3,8,1978,0
0,0,5,7,1926,0
0,0,3,7,2004,0
0,0,4,7,1986,0
0,0,3,8,1986,0
0,0,3,9,1989,0
0,0,3,8,2014,0
0,0,3,9,2005,0
0,0,4,7,1956,0
0,0,3,7,1968,0
0,0,4,8,1968,0
0,0,3,6,1981,0
0,0,3,8,2014,0
0,0,3,7,1925,0
0,0,4,8,1968,0
0,0,4,7,1962,0
0,0,4,7,1923,0
0,0,4,8,1961,0
0,0,4,9,1994,0
0,0,3,8,1905,0
0,0,3,7,2007,0
0,0,4,8,1960,0
0,0,3,7,1947,0
0,0,3,8,1990,0
0,0,3,7,1947,0
0,0,4,7,1954,0
0,3,3,12,2006,0
0,0,3,7,1942,0
0,0,4,7,1967,0
0,0,3,9,1996,0
0,0,3,8,1967,0
0,0,3,7,1916,2013
0,0,4,8,1968,0
0,0,3,7,1962,0
0,0,3,7,1962,0
0,0,3,10,2000,0
0,0,3,7,1979,0
0,0,4,7,1975,0
0,0,3,7,1976,0
