id,waterfront,view,condition,grade,zipcode,lat,long,bedrooms,bathrooms,sqft_basement_cat,floors,yr_built_cat,zip
7129300520,0,0,3,7,98178,47.5112,-122.257,3,1.0,1,1.0,1,981
6414100192,0,0,3,7,98125,47.721,-122.319,3,2.25,2,2.0,1,981
5631500400,0,0,3,6,98028,47.7379,-122.233,2,1.0,1,1.0,1,980
2487200875,0,0,5,7,98136,47.5208,-122.393,4,3.0,3,1.0,1,981
1954400510,0,0,3,8,98074,47.6168,-122.045,3,2.0,1,1.0,1,980
7237550310,0,0,3,11,98053,47.6561,-122.005,4,4.5,4,1.0,2,980
1321400060,0,0,3,7,98003,47.3097,-122.327,3,2.25,1,2.0,2,980
2008000270,0,0,3,7,98198,47.4095,-122.315,3,1.5,1,1.0,1,981
2414600126,0,0,3,7,98146,47.5123,-122.337,3,1.0,3,1.0,1,981
3793500160,0,0,3,7,98038,47.3684,-122.031,3,2.5,1,2.0,2,980
1736800520,0,0,3,8,98007,47.6007,-122.145,3,2.5,4,1.0,1,980
9212900260,0,0,4,7,98115,47.69,-122.292,2,1.0,2,1.0,1,981
114101516,0,0,4,7,98028,47.7558,-122.229,3,1.0,1,1.5,1,980
6054650070,0,0,4,7,98074,47.6127,-122.045,3,1.75,1,1.0,1,980
1175000570,0,0,3,7,98107,47.67,-122.394,5,2.0,1,1.5,1,981
9297300055,0,3,3,9,98126,47.5714,-122.375,4,3.0,3,2.0,1,981
1875500060,0,0,3,7,98019,47.7277,-121.962,3,2.0,1,2.0,1,980
6865200140,0,0,4,7,98103,47.6648,-122.343,4,1.0,1,1.5,1,981
16000397,0,0,4,7,98002,47.3089,-122.21,2,1.0,1,1.0,1,980
7983200060,0,0,4,7,98003,47.3343,-122.306,3,1.0,1,1.0,1,980
6300500875,0,0,4,7,98133,47.7025,-122.341,4,1.75,3,1.0,1,981
2524049179,0,4,3,9,98040,47.5316,-122.233,3,2.75,3,1.0,1,980
7137970340,0,0,3,8,98092,47.3266,-122.169,5,2.5,1,2.0,2,980
8091400200,0,0,3,7,98030,47.3533,-122.166,2,1.5,1,1.0,1,980
3814700200,0,0,4,8,98030,47.3739,-122.172,3,2.25,1,2.0,1,980
1202000200,0,0,5,6,98002,47.3048,-122.218,3,2.0,1,1.5,1,980
1794500383,0,0,3,8,98119,47.6386,-122.36,3,1.75,3,2.0,1,981
3303700376,0,0,5,8,98112,47.6221,-122.314,3,1.0,1,1.5,1,981
5101402488,0,0,3,7,98115,47.695,-122.304,3,1.75,3,1.0,1,981
1873100390,0,0,3,8,98052,47.7073,-122.11,4,2.5,1,2.0,2,980
8562750320,0,0,3,8,98027,47.5391,-122.07,3,2.5,1,2.0,2,980
2426039314,0,0,3,7,98133,47.7274,-122.357,2,1.5,1,3.0,2,981
461000390,0,0,4,7,98117,47.6823,-122.368,4,1.75,3,1.5,1,981
7589200193,0,0,4,8,98117,47.6889,-122.375,3,1.0,1,1.5,1,981
7955080270,0,0,3,7,98058,47.4276,-122.157,4,2.75,3,1.0,1,980
9547205180,0,0,3,8,98115,47.6827,-122.31,3,2.5,3,1.5,1,981
9435300030,0,0,1,5,98052,47.6621,-122.132,4,1.0,3,1.0,1,980
2768000400,0,0,4,8,98107,47.6702,-122.362,4,2.0,1,2.0,1,981
7895500070,0,0,2,7,98001,47.3341,-122.282,4,1.0,2,1.0,1,980
2078500320,0,0,3,8,98056,47.5301,-122.18,4,2.5,1,2.0,2,980
5547700270,0,0,3,9,98074,47.6145,-122.027,4,2.5,1,2.0,2,980
7766200013,0,0,3,8,98166,47.445,-122.347,4,2.25,4,1.0,1,981
7203220400,0,0,3,9,98053,47.6848,-122.016,5,2.75,1,2.0,3,980
9270200160,0,0,3,7,98119,47.6413,-122.364,3,1.0,1,2.0,1,981
1432701230,0,0,4,6,98058,47.4485,-122.175,3,1.0,2,1.0,1,980
8035350320,0,0,3,8,98019,47.7443,-121.977,3,2.5,1,2.0,2,980
8945200830,0,0,3,6,98023,47.3066,-122.371,3,1.0,1,1.0,1,980
4178300310,0,0,4,9,98007,47.6194,-122.151,4,2.5,1,2.0,1,980
9215400105,0,0,4,7,98115,47.6796,-122.301,3,1.75,1,1.0,1,981
822039084,1,2,5,9,98070,47.4041,-122.451,3,2.5,3,1.0,1,980
5245600105,0,0,3,7,98148,47.4258,-122.322,3,1.0,1,1.0,1,981
7231300125,0,0,4,8,98056,47.4934,-122.189,5,2.5,4,1.0,1,980
7518505990,0,0,4,7,98117,47.6808,-122.384,3,1.75,2,1.0,1,981
3626039271,0,0,3,7,98117,47.6989,-122.369,2,1.75,3,1.0,1,981
4217401195,0,0,3,8,98105,47.6571,-122.281,5,2.25,3,1.5,1,981
9822700295,0,0,3,9,98105,47.6597,-122.29,4,2.5,1,2.0,2,981
9478500640,0,0,3,7,98042,47.3663,-122.114,4,2.5,1,2.0,2,980
