sqft_above,sqft_lot15,sqft_living15
1180,5650,1340
2170,7639,1690
770,8062,2720
1050,5000,1360
1680,7503,1800
3890,101930,4760
1715,6819,2238
1060,9711,1650
1050,8113,1780
1890,7570,2390
1860,8925,2210
860,6000,1330
1430,12697,1780
1370,10208,1370
1810,4850,1360
1980,4000,2140
1890,14018,1890
1600,4300,1610
1200,5095,1060
1250,8850,1280
860,4980,1400
2330,20336,4110
2270,7005,2240
1070,8386,1220
2450,6865,2200
1710,4705,1030
1750,3573,1760
1400,3861,1860
790,6235,1520
2570,6026,2630
2320,3980,2580
1190,1756,1390
1510,5000,1460
1090,5080,1570
1280,8720,2020
1510,3264,1590
930,11467,2160
2360,4700,1730
890,7800,1290
2620,11884,2620
2570,5669,2470
2600,30617,2410
3595,5639,3625
1570,2640,1580
920,8808,1340
3160,9232,3050
990,8840,1228
2290,13685,2680
1250,5100,970
2165,72513,2680
1190,9364,1190
1640,9133,1990
1000,4080,1410
990,6738,1480
2130,6000,2730
2830,5000,1950
2250,4500,2250
2420,4750,2690
3250,11044,2960
1850,8542,2270
1590,18900,2570
1260,8750,1290
2519,9500,2500
1540,3090,1580
1110,4080,1440
1770,4000,1440
2720,11049,2750
2240,4557,2221
1000,12635,1010
1600,20158,3390
3070,38917,3530
1260,4745,1640
2250,7807,1510
2380,5000,2420
1090,50529,1940
2390,35020,3240
880,7500,1680
1040,5060,890
910,5693,1130
3450,39750,3350
2350,5363,2350
1900,6405,1870
1010,6720,1720
1680,8797,1850
960,7203,1570
1900,4800,2020
2660,8165,1590
1980,7349,1900
1610,2025,1950
765,1106,1030
1980,7510,1980
3520,6250,2520
1200,10500,1350
1290,4500,1570
1290,4500,1570
2390,6045,1950
1960,15616,1750
1160,6400,1160
1210,135036,1650
2320,35065,2550
1270,4500,2200
1440,3478,1610
2190,47777,2570
2920,8113,2370
1210,14910,1640
1460,8162,2250
1170,4005,1240
1240,4966,1270
3140,35001,2990
2030,9433,2500
2310,9636,1940
700,3536,1380
1160,11656,1540
1080,5500,2090
2520,8517,2640
2780,6350,1830
1590,3166,1620
880,6780,1190
1570,9000,1880
1610,4040,1610
1560,10856,2340
1450,9104,1580
770,6000,1710
1720,4400,1850
2910,13992,2700
1980,11275,3060
1620,8712,2660
1360,8400,2090
1720,4960,1700
2070,3748,1970
1060,7680,1420
1440,9793,2060
2460,88500,2480
1390,1662,1690
2140,2285,1540
1320,19265,1550
1010,8140,1750
1340,10436,1550
1190,5715,1060
1170,1310,1350
1110,3600,1170
1550,9375,2820
1010,8579,1610
940,7940,1560
1380,8824,2230
3670,87991,2840
2370,4000,2200
2420,193842,1940
1130,18000,1360
980,4599,1450
1360,3090,1500
1110,5000,1420
1250,8633,1680
3540,9750,3160
700,5100,1010
1180,7669,1190
2500,13675,2640
1620,7875,1980
1270,7198,1160
1760,11180,1730
1030,11680,1010
1780,9660,1200
3400,12601,3400
1160,8152,1710
1010,36590,2110
1180,7500,1640
700,9750,1830
2680,4500,2920
1610,8750,2480
1370,7288,1770
1560,7920,1070
1670,7350,1930
1340,7940,1480
2570,35230,3740
2590,8335,2260
820,1795,1590
1320,2150,1280
1220,4800,1200
1320,8941,1950
1060,8280,1540
1670,6183,1670
1680,5375,1410
2440,9600,2290
1050,3417,1050
2140,9984,2260
2090,10270,2540
1100,8910,2190
1900,8744,2030
1330,4400,1330
1430,9340,2230
1220,8400,1540
1190,7980,1230
2140,10083,2680
1420,7818,1900
1060,10228,1570
1690,5001,2550
1130,6480,1500
2150,2385,1750
1910,67268,2330
1350,50965,1560
860,9514,1300
1940,10450,2030
1010,5000,1680
900,7500,1430
910,8040,1400
1630,10744,2770
2440,4587,2750
1010,5000,1290
900,14280,1250
1600,1312,1560
1550,6397,1630
1060,1327,1160
2240,12368,2520
2714,18386,2590
1720,8700,2130
850,14459,1100
1870,20953,3836
2250,5390,1320
1950,5184,2580
1320,12040,2120
2760,8127,3070
1350,10125,1900
2330,10055,1910
1780,9583,2080
2020,8031,2020
1250,7392,1280
1510,6009,1640
1120,9753,1510
980,13068,1960
1480,4729,2250
1230,13193,2030
2280,15347,2280
1780,8236,2120
1000,13702,1150
1620,4800,2090
3760,35096,3430
