bedrooms,bathrooms,sqft_above,floors,sqft_lot15,sqft_living15,sqft_basement
3,1.0,1180,1.0,5650,1340,0
3,2.25,2170,2.0,7639,1690,400
2,1.0,770,1.0,8062,2720,0
4,3.0,1050,1.0,5000,1360,910
3,2.0,1680,1.0,7503,1800,0
3,2.25,1715,2.0,6819,2238,0
3,1.5,1060,1.0,9711,1650,0
3,1.0,1050,1.0,8113,1780,730
3,2.5,1890,2.0,7570,2390,0
2,1.0,860,1.0,6000,1330,300
3,1.0,1430,1.5,12697,1780,0
3,1.75,1370,1.0,10208,1370,0
5,2.0,1810,1.5,4850,1360,0
4,3.0,1980,2.0,4000,2140,970
3,2.0,1890,2.0,14018,1890,0
4,1.0,1600,1.5,4300,1610,0
2,1.0,1200,1.0,5095,1060,0
3,1.0,1250,1.0,8850,1280,0
4,1.75,860,1.0,4980,1400,760
5,2.5,2270,2.0,7005,2240,0
2,1.5,1070,1.0,8386,1220,0
3,2.25,2450,2.0,6865,2200,0
3,2.0,1710,1.5,4705,1030,0
3,1.75,1750,2.0,3573,1760,700
3,1.0,1400,1.5,3861,1860,0
3,1.75,790,1.0,6235,1520,730
4,2.5,2570,2.0,6026,2630,0
3,2.5,2320,2.0,3980,2580,0
2,1.5,1190,3.0,1756,1390,0
4,1.75,1510,1.5,5000,1460,820
3,1.0,1090,1.5,5080,1570,0
4,2.75,1280,1.0,8720,2020,780
3,2.5,1510,1.5,3264,1590,790
4,1.0,930,1.0,11467,2160,730
4,2.0,2360,2.0,4700,1730,0
4,1.0,890,1.0,7800,1290,330
4,2.5,2620,2.0,11884,2620,0
4,2.5,2570,2.0,5669,2470,0
5,2.75,3595,2.0,5639,3625,0
3,1.0,1570,2.0,2640,1580,0
3,1.0,920,1.0,8808,1340,360
3,2.5,3160,2.0,9232,3050,0
3,1.0,990,1.0,8840,1228,0
4,2.5,2290,2.0,13685,2680,0
3,1.75,1250,1.0,5100,970,0
3,1.0,1190,1.0,9364,1190,0
3,1.75,1000,1.0,4080,1410,410
2,1.75,990,1.0,6738,1480,990
5,2.25,2130,1.5,6000,2730,600
4,2.5,2830,2.0,5000,1950,0
4,2.5,2250,2.0,4500,2250,0
3,2.5,2420,2.0,4750,2690,0
5,3.25,3250,2.0,11044,2960,0
4,3.0,1850,2.0,8542,2270,0
3,1.75,1260,1.0,8750,1290,0
3,1.75,2519,2.0,9500,2500,0
3,1.75,1540,3.0,3090,1580,0
3,2.25,1110,1.0,4080,1440,550
3,2.75,1770,1.5,4000,1440,1000
4,2.5,2720,2.0,11049,2750,0
4,2.5,2240,2.0,4557,2221,0
3,1.0,1000,1.0,12635,1010,0
3,2.0,1260,1.0,4745,1640,0
4,2.0,2250,1.5,7807,1510,500
4,2.5,2380,2.0,5000,2420,0
4,1.75,880,1.0,7500,1680,880
3,1.0,1040,1.0,5060,890,0
3,1.0,910,1.0,5693,1130,500
3,2.5,2350,2.0,5363,2350,0
4,2.5,1900,2.0,6405,1870,0
2,1.0,1010,1.0,6720,1720,1010
3,1.5,1680,1.0,8797,1850,0
3,1.0,960,1.0,7203,1570,0
3,1.5,1900,2.0,4800,2020,240
5,2.25,2660,1.5,8165,1590,0
3,3.25,1980,2.0,7349,1900,790
2,2.25,1610,2.0,2025,1950,0
2,1.75,765,2.0,1106,1030,265
